quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate
1996K2,-1.2,0.6,0.6156721956202205,2.2916361757986907,13,93.5,7.6,0.7291758130256731,0.363731240193399,6.696610169491525
1996K3,0.4,1.4,0.6138112017202602,2.3642411394718463,1.2,93.8,8.3,2.2677370275387965,-0.6504511029786997,5.483333333333333
1996K4,1.6,-0.4,1.0272207795987143,2.43755092933781,-8.9,95.2,8,0.013052274377312045,-0.013052274377312045,4.607258064516129
1997K1,0.2,1.7,1.2109510842842397,2.640516402663003,-3.9,96.5,8.1,1.8660375662154394,-0.2744920356255065,4.1
1997K2,1.7,1.3,1.3466997413393855,2.715885028624258,5.8,98.2,6.7,2.654039996989521,0.9639256607607116,4.1
1997K3,0.5,-0.3,1.06950200849667,2.778055874857016,-0.7,98.8,7.4,1.6090565238291,0.4010614082796238,4.1
1997K4,2,0.8,1.945362494021552,2.7339344073411223,-11.3,100.1,7.4,-0.4380321355804462,0.4380321355804462,4.132258064516129
1998K1,0.2,0.6,1.1637728046636653,2.8841733788408885,-2.9,100.4,7.5,3.8972211658850675,-0.9558326452557608,4.35
1998K2,1,1.6,1.377577330139168,2.942438097629494,5.3,101.4,6.5,2.9500497343455834,0.37567244130265465,4.286440677966102
1998K3,1.1,0.8,1.7853094689751714,2.7707265718196314,-0.9,102.7,7,3.2706957224774236,-0.5055425894263443,4.1
1998K4,1.6,1,1.672830488170618,2.8844026599557653,-10.4,103.3,6.8,1.2634957005881908,0.09092681018749715,3.821428571428571
1999K1,0.4,0.8,1.4502415628763643,2.9496216371927573,-4,103.9,6.7,1.3882708343330386,-0.05194805311630191,3.270967741935484
1999K2,0.6,0.7,2.4212881036863365,3.019489997981705,6.5,104.8,5.6,3.244726695161404,0.6603247920258681,2.9
1999K3,1.5,1,1.771625944691202,3.042041439425546,-2.5,105.9,6.4,2.973943370178045,-0.03872216892526481,2.9
1999K4,1.3,3.4,2.549728605697865,3.2751597154447705,-14.1,107.8,6.5,-0.47652868846910224,0.47652868846910224,3.06953125
2000K1,0,1.8,1.8966605592023456,3.1809218741066103,-2.3,108.2,6.6,3.1345846413270095,-0.2830676105249452,3.546875
